exercise_id,name,category,primary_muscles,secondary_muscles,difficulty,equipment,calories_per_minute,typical_duration_minutes,intensity,description,instructions,benefits,contraindications,is_compound,is_bodyweight
ex_001,Barbell Bench Press,strength,"chest,triceps,shoulders",core,intermediate,"barbell,bench",7.5,10,high,Compound chest exercise using barbell on flat bench,Lie on bench with feet flat. Grip bar slightly wider than shoulders. Lower to chest and press up.,Builds chest strength and mass,shoulder_injury,true,false
ex_002,Barbell Squat,strength,"quadriceps,glutes,hamstrings","core,calves",intermediate,"barbell,squat_rack",9.0,8,high,Foundational leg exercise with barbell on shoulders,Stand with bar on upper back. Squat down keeping knees aligned with toes. Drive through heels.,Builds leg strength and power; improves core stability,knee_injury;back_injury,true,false
ex_003,Deadlift,strength,"hamstrings,glutes,lower_back","core,forearms,traps",advanced,"barbell",10.0,8,very_high,Full body pulling exercise lifting weight from ground,Stand with feet hip-width. Grip bar. Keep back straight and lift by extending hips and knees.,Total body strength; posterior chain development,back_injury;hernia,true,false
ex_004,Pull-ups,strength,"back,biceps","shoulders,core",intermediate,pull_up_bar,8.0,8,high,Bodyweight pulling exercise hanging from bar,Hang from bar with overhand grip. Pull body up until chin over bar. Lower with control.,Upper body pulling strength; back width,shoulder_injury,true,true
ex_005,Push-ups,strength,"chest,triceps,shoulders",core,beginner,none,6.0,8,moderate,Classic bodyweight pushing exercise,Start in plank position. Lower body until chest nearly touches ground. Push back up.,Chest and tricep strength; core stability,wrist_injury;shoulder_injury,true,true
ex_006,Dumbbell Shoulder Press,strength,"shoulders,triceps",core,intermediate,dumbbells,7.0,8,moderate,Overhead pressing movement with dumbbells,Sit or stand. Press dumbbells from shoulder height to overhead. Lower with control.,Shoulder strength and size; overhead pressing power,shoulder_injury,true,false
ex_007,Barbell Row,strength,"back,biceps","core,rear_delts",intermediate,barbell,7.5,8,high,Bent-over rowing movement with barbell,Bend at hips holding bar. Pull bar to lower chest. Lower with control.,Back thickness; bicep strength,back_injury,true,false
ex_008,Dumbbell Bicep Curl,strength,biceps,forearms,beginner,dumbbells,5.0,8,moderate,Isolation exercise for biceps,Stand holding dumbbells. Curl weights up keeping elbows stationary. Lower slowly.,Bicep size and strength,elbow_injury,false,false
ex_009,Tricep Dips,strength,"triceps,chest",shoulders,intermediate,"dip_bars,bench",7.0,8,high,Bodyweight exercise for triceps,Support body on bars. Lower by bending elbows. Press back up.,Tricep strength and size; pressing power,shoulder_injury;elbow_injury,true,true
ex_010,Leg Press,strength,"quadriceps,glutes",hamstrings,beginner,leg_press_machine,8.0,10,moderate,Machine-based leg pressing exercise,Sit in machine. Press platform away by extending legs. Lower with control.,Leg strength without spine loading,knee_injury,true,false
ex_011,Leg Curl,strength,hamstrings,calves,beginner,leg_curl_machine,5.5,8,moderate,Isolation exercise for hamstrings,Lie prone. Curl legs up toward glutes. Lower slowly.,Hamstring strength and development,knee_injury,false,false
ex_012,Leg Extension,strength,quadriceps,,beginner,leg_extension_machine,5.5,8,moderate,Isolation exercise for quadriceps,Sit in machine. Extend legs to straighten. Lower with control.,Quadricep isolation and definition,knee_injury,false,false
ex_013,Calf Raises,strength,calves,,beginner,"dumbbells,calf_raise_machine",5.0,10,low,Isolation exercise for calf muscles,Stand on edge. Rise up on toes. Lower below platform level.,Calf strength and size,ankle_injury,false,false
ex_014,Lat Pulldown,strength,"back,biceps",shoulders,beginner,cable_machine,6.5,10,moderate,Cable pulling exercise for back,Sit at machine. Pull bar down to upper chest. Return with control.,Back width; lat development,shoulder_injury,true,false
ex_015,Cable Chest Fly,strength,chest,shoulders,intermediate,cable_machine,6.0,10,moderate,Isolation exercise for chest using cables,Stand between cables. Bring handles together in front. Return slowly.,Chest definition and stretch,shoulder_injury,false,false
ex_016,Running,cardio,"quadriceps,hamstrings,calves","glutes,core",beginner,"treadmill,none",10.0,20,high,Aerobic running exercise,Maintain steady pace. Keep upright posture. Land midfoot.,Cardiovascular health; calorie burn; endurance,knee_injury;ankle_injury,false,true
ex_017,Cycling,cardio,"quadriceps,hamstrings,calves",glutes,beginner,"stationary_bike,bicycle",8.5,25,moderate,Aerobic cycling exercise,Maintain steady pedaling rhythm. Adjust resistance as needed.,Low-impact cardio; leg endurance,knee_injury,false,false
ex_018,Rowing Machine,cardio,"back,legs,core","arms,shoulders",intermediate,rowing_machine,11.0,15,high,Full body cardio using rowing machine,Push with legs then pull with arms. Return in reverse order.,Full body cardio; back and leg strength,back_injury,true,false
ex_019,Jump Rope,cardio,"calves,quadriceps","shoulders,forearms",intermediate,jump_rope,12.0,10,very_high,High intensity jumping cardio,Jump over rope with rhythmic motion. Stay on toes.,High calorie burn; coordination; calf strength,ankle_injury;knee_injury,false,true
ex_020,Burpees,cardio,"legs,chest,core","shoulders,triceps",intermediate,none,11.5,8,very_high,Full body explosive cardio exercise,Squat down place hands down jump feet back do push-up jump feet forward stand and jump.,Total body conditioning; explosive power,knee_injury;back_injury,true,true
ex_021,Mountain Climbers,cardio,"core,shoulders,legs",,intermediate,none,10.0,8,high,Dynamic plank variation with running motion,Start in plank. Alternate bringing knees to chest rapidly.,Core strength; cardio; shoulder stability,wrist_injury,true,true
ex_022,Box Jumps,cardio,"quadriceps,glutes,calves",core,advanced,plyo_box,9.5,8,high,Explosive jumping exercise onto platform,Stand facing box. Jump explosively onto box. Step down.,Explosive power; leg strength,knee_injury;ankle_injury,false,true
ex_023,Battle Ropes,cardio,"shoulders,core,forearms",back,intermediate,battle_ropes,11.0,5,very_high,High intensity rope waving exercise,Hold rope ends. Create waves by alternating arm motion.,Shoulder endurance; grip strength; cardio,shoulder_injury,false,false
ex_024,Kettlebell Swings,strength,"glutes,hamstrings,core","shoulders,back",intermediate,kettlebell,9.0,10,high,Explosive hip hinge movement with kettlebell,Hinge at hips swinging bell between legs. Drive hips forward explosively.,Hip power; posterior chain; cardio,back_injury,true,false
ex_025,Elliptical Trainer,cardio,"quadriceps,hamstrings,glutes,calves","arms,core",beginner,elliptical,7.5,20,moderate,Low-impact cardio machine,Maintain steady rhythm with full range of motion.,Low-impact cardio; full body movement,none,false,false
ex_026,Stair Climber,cardio,"quadriceps,glutes,calves",hamstrings,beginner,stair_climber,9.0,15,high,Cardio machine simulating stair climbing,Step continuously maintaining upright posture.,Lower body endurance; glute activation,knee_injury,false,false
ex_027,Swimming,cardio,"shoulders,back,core","legs,arms",intermediate,pool,10.5,30,moderate,Full body low-impact cardio in water,Maintain proper stroke technique and breathing rhythm.,Full body cardio; joint-friendly; flexibility,none,true,true
ex_028,Plank,core,core,"shoulders,glutes",beginner,none,5.0,5,moderate,Isometric core strengthening hold,Hold push-up position with straight body. Engage core.,Core stability; shoulder endurance,back_injury;shoulder_injury,false,true
ex_029,Russian Twists,core,"core,obliques",,intermediate,"medicine_ball,dumbbell",6.5,8,moderate,Rotational core exercise,Sit with feet elevated. Rotate torso side to side with weight.,Oblique strength; rotational power,back_injury,false,false
ex_030,Bicycle Crunches,core,"core,obliques",,beginner,none,6.0,8,moderate,Dynamic crunch with rotation,Lie on back. Bring opposite elbow to opposite knee alternating.,Core definition; oblique activation,back_injury,false,true
ex_031,Hanging Leg Raises,core,core,hip_flexors,advanced,pull_up_bar,7.5,8,high,Advanced hanging core exercise,Hang from bar. Raise straight legs to parallel. Lower with control.,Lower core strength; hip flexor development,back_injury;shoulder_injury,false,true
ex_032,Ab Wheel Rollout,core,"core,shoulders",back,advanced,ab_wheel,8.0,8,high,Advanced core extension exercise,Kneel holding wheel. Roll forward keeping core tight. Pull back.,Extreme core strength; anti-extension,back_injury,false,false
ex_033,Dead Bug,core,core,,beginner,none,4.5,10,low,Core stability exercise on back,Lie on back. Lower opposite arm and leg while maintaining back contact.,Core stability; coordination,none,false,true
ex_034,Bird Dog,core,"core,glutes",back,beginner,none,5.0,10,low,Quadruped stability exercise,On hands and knees extend opposite arm and leg. Hold and switch.,Core stability; balance; posterior chain,none,false,true
ex_035,Side Plank,core,"obliques,core",shoulders,intermediate,none,5.5,5,moderate,Lateral core stability hold,Lie on side. Prop up on elbow maintaining straight body.,Oblique stability; lateral core strength,shoulder_injury,false,true
ex_036,Lunges,strength,"quadriceps,glutes,hamstrings",core,beginner,"dumbbells,barbell,none",7.0,10,moderate,Single leg strength exercise,Step forward lowering back knee toward ground. Push back to start.,Leg strength; balance; unilateral development,knee_injury,true,true
ex_037,Bulgarian Split Squat,strength,"quadriceps,glutes",hamstrings,intermediate,"dumbbells,bench",7.5,10,high,Elevated rear foot single leg squat,Rear foot on bench. Lower front leg to 90 degrees. Drive up.,Single leg strength; quad development,knee_injury,true,false
ex_038,Romanian Deadlift,strength,"hamstrings,glutes,lower_back",core,intermediate,"barbell,dumbbells",8.0,10,moderate,Hip hinge exercise emphasizing hamstrings,Keep legs slightly bent. Hinge at hips lowering weight. Return by extending hips.,Hamstring flexibility and strength; hip hinge pattern,back_injury,true,false
ex_039,Good Mornings,strength,"hamstrings,glutes,lower_back",core,advanced,barbell,7.0,10,moderate,Barbell hip hinge exercise,Bar on shoulders. Hinge forward at hips keeping back straight. Return to standing.,Posterior chain; hamstring strength,back_injury,true,false
ex_040,Hip Thrusts,strength,"glutes,hamstrings",core,intermediate,"barbell,bench",7.5,10,moderate,Glute isolation with hip extension,Upper back on bench. Thrust hips up squeezing glutes. Lower and repeat.,Maximum glute activation; hip strength,back_injury,true,false
ex_041,Face Pulls,strength,"rear_delts,traps,rhomboids",,intermediate,cable_machine,5.5,10,moderate,Cable pulling exercise for rear shoulders,Pull rope to face level while externally rotating arms.,Shoulder health; posture; rear delt development,shoulder_injury,false,false
ex_042,Shrugs,strength,traps,upper_back,beginner,"dumbbells,barbell",5.0,10,low,Trapezius isolation exercise,Hold weights at sides. Elevate shoulders toward ears. Lower slowly.,Trap development; neck strength,neck_injury,false,false
ex_043,Farmer's Walk,strength,"forearms,traps,core","legs,shoulders",intermediate,"dumbbells,kettlebells",8.0,5,moderate,Loaded carry exercise,Hold heavy weights at sides. Walk maintaining upright posture.,Grip strength; core stability; full body strength,back_injury,true,false
ex_044,Overhead Press,strength,"shoulders,triceps",core,intermediate,"barbell,dumbbells",7.5,8,high,Standing overhead pressing movement,Press weight from shoulders to overhead. Lower with control.,Shoulder strength; overhead stability,shoulder_injury,true,false
ex_045,Arnold Press,strength,"shoulders,triceps",,intermediate,dumbbells,7.0,10,moderate,Rotating dumbbell shoulder press,Start palms facing body. Press while rotating to palms forward.,Complete shoulder development; rotation,shoulder_injury,true,false
ex_046,Lateral Raises,strength,shoulders,,beginner,dumbbells,5.0,10,low,Lateral deltoid isolation,Hold dumbbells at sides. Raise to shoulder height. Lower slowly.,Lateral delt development; shoulder width,shoulder_injury,false,false
ex_047,Front Raises,strength,shoulders,chest,beginner,dumbbells,5.0,10,low,Front deltoid isolation,Hold dumbbells in front. Raise forward to shoulder height. Lower.,Front delt development,shoulder_injury,false,false
ex_048,Incline Bench Press,strength,"chest,triceps,shoulders",,intermediate,"barbell,bench",7.5,10,high,Upper chest pressing on incline bench,Press on incline bench targeting upper chest.,Upper chest development,shoulder_injury,true,false
ex_049,Decline Bench Press,strength,"chest,triceps",,intermediate,"barbell,bench",7.5,10,high,Lower chest pressing on decline bench,Press on decline bench targeting lower chest.,Lower chest development,shoulder_injury,true,false
ex_050,Dumbbell Flyes,strength,chest,shoulders,intermediate,"dumbbells,bench",6.0,10,moderate,Chest isolation fly movement,Lie on bench. Lower dumbbells in arc. Squeeze chest bringing weights together.,Chest stretch and development,shoulder_injury,false,false
ex_051,Cable Crossover,strength,chest,shoulders,intermediate,cable_machine,6.5,10,moderate,Cable chest isolation from high position,Pull cables down and across body squeezing chest.,Chest definition; constant tension,shoulder_injury,false,false
